"date","ticker","open","high","close","volume","adj"
2017-07-11,"DISCK",25.48,25.54,25.48,1670800,25.48
2017-07-05,"AOS",56.67,57.33,57.200001,744900,57.200001
2017-07-06,"AOS",56.97,57.29,56.580002,1091500,56.580002
2017-07-07,"AOS",56.65,57.54,57.25,408900,57.25
2017-07-10,"AOS",57.1,57.61,57.200001,465700,57.200001
2017-07-11,"AOS",57.26,57.35,57.139999,448200,57.139999
2017-07-05,"MMI",26.69,26.98,26.75,71700,26.75
2017-07-06,"MMI",26.51,26.7,26.15,64000,26.15
2017-07-07,"MMI",26.35,26.71,26.299999,73000,26.299999
2017-07-10,"MMI",26.29,26.35,26,92900,26
2017-07-11,"MMI",25.99,26.2,26,160600,26
2017-07-05,"UTX",122.37,123.01,122.790001,1738000,122.790001
2017-07-06,"UTX",122.56,123,121.889999,3058200,121.889999
2017-07-07,"UTX",122.28,122.9,122.610001,1762900,122.610001
2017-07-10,"UTX",122.73,123.74,123.059998,2053100,123.059998
2017-07-11,"UTX",123.16,123.68,123.540001,1952000,123.540001
2017-07-05,"AVNW",17.85,17.85,17.809999,15400,17.809999
2017-07-06,"AVNW",17.56,18.42,18.129999,14000,18.129999
2017-07-07,"AVNW",17.84,18.21,18.049999,7700,18.049999
2017-07-10,"AVNW",18.19,19.1,18.469999,19200,18.469999
2017-07-11,"AVNW",18.49,18.77,18.610001,35500,18.610001
2017-07-05,"AINC",52.39,52.39,50,8600,50
2017-07-06,"AINC",49.9,50.365,50.365002,200,50.365002
2017-07-07,"AINC",50,50,49.84,800,49.84
2017-07-10,"AINC",49,49.03,49.029999,700,49.029999
2017-07-11,"AINC",49.03,49.03,49.029999,400,49.029999
2017-07-05,"CPAC",11.28,11.3,11.11,2100,11.11
2017-07-06,"CPAC",11.15,11.57,11.4,7800,11.4
2017-07-07,"CPAC",11.4,11.4,11.4,0,11.4
2017-07-10,"CPAC",11.19,11.27,11.2,1900,11.2
2017-07-11,"CPAC",11.54,11.54,11.54,300,11.54
2017-07-05,"NSYS",3.64,3.64,3.64,0,3.64
2017-07-06,"NSYS",3.51,3.55,3.51,1200,3.51
2017-07-07,"NSYS",3.51,3.64,3.64,25500,3.64
2017-07-10,"NSYS",3.63,3.65,3.6,10300,3.6
2017-07-11,"NSYS",3.56,3.61,3.59,700,3.59
2017-07-05,"FRO",5.86,5.87,5.82,459300,5.82
2017-07-06,"FRO",5.78,5.86,5.77,481200,5.77
2017-07-07,"FRO",5.81,5.82,5.66,429600,5.66
2017-07-10,"FRO",5.7,5.82,5.77,261400,5.77
2017-07-11,"FRO",5.78,5.86,5.81,451000,5.81
